country_name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,92.15480042,92.4921875,92.82945251,93.16604614,93.50127411,93.83446503,94.16493988,94.49201202,94.81500244,95.13315582,95.78328705,95.51106262,96.22886658,96.44263458,96.65350342,96.86384583,97.07605743,97.29279327,97.51675415,97.75065613,98.81999969,99.09535217,99.22998047,99.34267426,100
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,60.0279007,61.38402939,64.1,64.09152985,71,67.330431,71.2,70.929888,69.96304321,69.25853729,63.99685669,72.30000305,75.94530487,68.28820801,76.21128082,80.15657043,84.67498779,86.76559448,87.88631439,88.33594513,90.38737488,89.5056839,90.03872681
Brazil,0,0,0,0,0,0,0,0,0,0,87.475116,90.60654449,88.803833,89.999927,91.88372803,91.728598,92.867095,93.354139,94.193812,94.76296,94.391716,96.01652527,96.65299225,96.98009491,96.7651062,97.09351349,97.59431458,98.12538147,98.52662659,98.85694122,98.59999847,99.32868958,99.5194931,99.57514954,99.65024567
Chile,0,0,0,0,0,0,0,0,0,0,92.257427,94.78162384,94.560057,95.27372742,95.51807404,95.76038361,95.617315,96.23616791,97.241124,96.69554901,97.93869019,97.11580658,97.28368378,98.78232574,97.60608673,97.76531219,99.36811066,98.09201813,98.26486969,99.59365845,99.53839111,99.5881958,100,99.59999847,100
Colombia,0,0,0,0,0,0,0,0,0,0,89.9,91.83665466,92.13265991,92.42799377,92.72196198,91.2,93.30310059,93.58891296,93.87064362,94.1475296,95.19999695,98.47000122,94.90550232,95.12934875,95.35031128,96.80000305,95.79302979,96.01984406,96.8067627,96.05722809,96.78899384,96.69360352,97.03217316,97.77941895,97.79093933
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.94000244,98.24977875,98.50918579,98.69589996,98.95478058,99.05305481,99.14752197,99.21799469,99.2639389,99.4098053,98.99573517,99.23234558,99.5032959,99.56351471,99.35929108
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,96.22625732,95.5,96.51303101,96.65090942,96.78825378,96.92747498,97.07121277,97.22218323,97.38309479,97.55664825,97.74556732,97.9525528,98.17936707,98.42398834
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,78.2,82.48540497,83.25549316,84.02422333,84.79090881,85.55487823,86.31544495,87.07193756,91,88.76493073,89.79135895,89.74981689,89.17380524,90.31656647,90.14122772,90.1181488,96.87634277,97.57619476,97.85775757,98.14541626,97.89887238,97.86705017,98.38585663,98.47097778
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.830167,92.05137634,92.4298172,92.726642,93.071434,93.73226166,94.02462006,94.30938721,94.97304535,94.86557007,95.83264923,96.31526184,96.81261444,97.20657349,96.47086334,97.46214294,96.87269592,97.19493103,98.0346756,98.97606659
