country_name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.40915,76.26566,78.48781,78.94955,78.81052,78.51365,78.53653,77.93493,77.80917,77.68491,78.65304,80.56529,82.09918,83.52317,85.89363,87.09754,87.6325
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.3867,65.13454,69.4617,72.04412,74.14804,74.68435,74.05262,73.1655,72.09962,72.78282,72.78318,72.385,73.56987,75.20722,75.86576
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1817,0,78.79924,0,77.95811,76.39968,82.04583,81.92489
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.66387,85.6857,83.55124,84.80201,85.24744,84.55065,87.8075,88.54193
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.648,67.7345,70.40955,71.39134,74.13559,75.30739,77.26227,75.66677,76.31163,75.58286
Costa Rica,0,38.97336,37.55369,0,0,34.70914,35.40541,36.18808,0,36.58867,37.34656,37.77787,40.09984,40.88592,42.77224,42.9093,42.42682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.30508,75.64349,76.95778,77.99166
Cuba,0,0,0,0,0,0,67.6805,66.90236,67.3895,68.64962,68.61211,68.55566,66.64532,0,59.87241,0,0,0,0,75.76883,80.49006,82.25167,82.60463,85.11799,85.1098,86.64633,88.66745,88.32925,87.50112,85.67697,88.24106,87.90295,86.64642,87.24085,85.14799
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.66008,40.60467,0,50.94075,0,50.03848,53.29682,0,62.2369,60.8427,64.31607,63.72856,63.17685,63.82419,65.55798,66.95176
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.12997,47.17097,47.76897,48.55978,49.94952,49.94144,50.72485,53.08892,54.49689,56.01364,0,69.16066,71.80644,72.8084,76.17987,80.13801,83.36107
Guatemala,12.10072,0,13.42526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.06259,24.4983,27.54215,28.33468,0,0,0,0,0,36.74233,38.34263,41.79092,42.21131,42.66609,42.87372,43.12295
Honduras,0,0,0,24.38114,0,0,0,0,0,0,0,19.89342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.20253,41.1479
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,47.10249,47.94386,47.44333,45.88711,46.72132,46.10101,0,0,47.71012,49.32331,51.15111,0,0,54.98575,56.09204,0,60.41548,63.26205,65.15369,66.67768,67.83849,68.93457,69.60395,69.68225,70.08479,70.65515,71.82661,75.56968,77.66257
Nicaragua,19.91828,0,0,19.09523,17.72496,16.74021,18.05797,20.11334,0,20.90677,0,0,0,0,0,0,0,0,0,0,34.65554,36.46335,38.66694,0,41.63398,43.93625,45.4727,0,0,0,48.4211,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.07839,58.31477,60.3896,62.18624,0,61.62455,61.79277,0,0,63.30201,63.42638,66.11851,65.56966,0,70.40156,69.04856
Peru,0,44.54678,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1665,53.24848,53.44598,59.02289,59.7418,62.00506,65.00322,65.88343,0,66.03303,67.21536,69.37305,72.88175,74.67779,77.71898,77.70725,78.92787,75.31964,79.99309,79.52639
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.22648,0,38.07619,0,42.79821,45.66068,0,51.65877,52.87572,54.13995,56.20782,57.02914,57.42306,58.11186,59.36683,59.90882,60.94171,62.70972,65.88458,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.93307,49.39867,53.2061,0,0,57.372,56.26755,56.40539,57.25487,58.78916,61.23691,63.49826,65.32173,67.03843,66.52072
Uruguay,0,0,0,0,56.16876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.65482,69.47614,71.36421,0,73.45892,74.70228,0,76.6716
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.53344,51.45313,54.80014,57.32278,58.95968,61.33545,63.14279,66.58989,68.83938,69.97967,71.68989,71.94629,73.03338,74.79369,75.07477,75.72595
